Season,Gender,Team,Gameid,Player,GP,GS,Mins,FG3,FGA3,FG2,FGA2,FT,FTA,OReb,DReb,Reb,PF,Assist,Turn,Block,Steal,Points
2023-24,WBB,Algoma,W20230929LAKALG,Gracie Batongbakal,1,1,30,3,7,2,5,0,0,1,4,5,3,6,2,0,2,13
2023-24,WBB,Algoma,W20230929LAKALG,Abigail Couture,1,0,7,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0
2023-24,WBB,Algoma,W20230929LAKALG,Riya Donnelly,1,0,7,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
2023-24,WBB,Algoma,W20230929LAKALG,Kaila Fong,1,1,36,2,8,8,11,2,4,3,7,10,4,5,4,0,2,24
2023-24,WBB,Algoma,W20230929LAKALG,Sadie Grawbarger,1,0,13,0,1,0,3,0,0,1,0,1,2,1,1,0,0,0
2023-24,WBB,Algoma,W20230929LAKALG,Brooke Gruhn,1,1,29,1,6,2,3,0,0,1,1,2,2,0,2,0,0,7
2023-24,WBB,Algoma,W20230929LAKALG,Stephanie Marin,1,1,21,2,4,0,1,0,0,1,0,1,3,0,0,0,1,6
2023-24,WBB,Algoma,W20230929LAKALG,Mercedes Mazzuca,1,0,8,0,2,0,0,0,0,1,2,3,0,0,2,0,2,0
2023-24,WBB,Algoma,W20230929LAKALG,Ashlyn Noble,1,1,28,0,3,3,4,2,5,3,1,4,2,3,1,0,1,8
2023-24,WBB,Algoma,W20230929LAKALG,Sage Steadman,1,0,21,0,1,2,4,0,0,3,3,6,3,1,2,0,0,4
2023-24,WBB,Algoma,W20230929LAKALG,team-algoma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2023-24,WBB,Algoma,W20230930LAKALG,Gracie Batongbakal,1,1,28,1,4,2,14,1,1,0,5,5,3,2,3,0,2,8
2023-24,WBB,Algoma,W20230930LAKALG,Abigail Couture,1,0,11,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2023-24,WBB,Algoma,W20230930LAKALG,Riya Donnelly,1,0,14,0,3,0,2,0,0,0,0,0,1,2,0,0,0,0
2023-24,WBB,Algoma,W20230930LAKALG,Kaila Fong,1,1,28,0,1,5,11,2,4,2,4,6,2,1,3,0,1,12
2023-24,WBB,Algoma,W20230930LAKALG,Sadie Grawbarger,1,0,18,0,1,3,4,0,0,3,2,5,2,2,0,2,0,6
2023-24,WBB,Algoma,W20230930LAKALG,Brooke Gruhn,1,1,31,0,4,2,4,3,4,0,1,1,4,2,2,0,0,7
2023-24,WBB,Algoma,W20230930LAKALG,Stephanie Marin,1,0,13,1,2,0,1,0,0,0,2,2,2,0,0,0,2,3
2023-24,WBB,Algoma,W20230930LAKALG,Mercedes Mazzuca,1,0,18,4,7,1,2,0,1,1,3,4,4,0,0,0,1,14
2023-24,WBB,Algoma,W20230930LAKALG,Ashlyn Noble,1,1,26,0,2,1,4,0,0,0,1,1,0,0,0,1,1,2
2023-24,WBB,Algoma,W20230930LAKALG,Sage Steadman,1,1,16,0,0,1,2,0,0,1,0,1,2,0,0,0,0,2
2023-24,WBB,Algoma,W20230930LAKALG,team-algoma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Algoma,W20231020NIPALG,Gracie Batongbakal,1,1,23,1,4,3,5,2,2,0,2,2,3,1,1,0,1,11
2023-24,WBB,Algoma,W20231020NIPALG,Abigail Couture,1,0,8,0,2,0,1,0,0,0,1,1,1,1,0,0,0,0
2023-24,WBB,Algoma,W20231020NIPALG,Riya Donnelly,1,0,12,0,1,0,2,0,2,1,0,1,2,0,0,0,0,0
2023-24,WBB,Algoma,W20231020NIPALG,Kaila Fong,1,1,32,1,4,5,13,6,9,1,5,6,3,4,3,0,2,19
2023-24,WBB,Algoma,W20231020NIPALG,Sadie Grawbarger,1,0,23,2,2,3,6,0,0,2,3,5,2,2,0,1,0,12
2023-24,WBB,Algoma,W20231020NIPALG,Brooke Gruhn,1,1,28,0,1,3,4,2,2,0,1,1,3,0,0,0,0,8
2023-24,WBB,Algoma,W20231020NIPALG,Stephanie Marin,1,0,16,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0
2023-24,WBB,Algoma,W20231020NIPALG,Mercedes Mazzuca,1,0,9,1,2,1,1,0,0,0,0,0,1,0,0,0,0,5
2023-24,WBB,Algoma,W20231020NIPALG,Ashlyn Noble,1,1,22,0,2,2,5,3,3,0,1,1,4,4,1,0,3,7
2023-24,WBB,Algoma,W20231020NIPALG,Allison Read,1,1,23,1,4,0,1,0,0,0,1,1,1,1,2,1,1,3
2023-24,WBB,Algoma,W20231020NIPALG,Sage Steadman,1,0,6,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2
2023-24,WBB,Algoma,W20231103WESALG,Gracie Batongbakal,1,1,29,1,6,1,5,2,4,1,2,3,1,4,1,0,1,7
2023-24,WBB,Algoma,W20231103WESALG,Abigail Couture,1,0,17,1,3,0,0,0,0,0,2,2,1,1,1,1,0,3
2023-24,WBB,Algoma,W20231103WESALG,Riya Donnelly,1,0,14,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2
2023-24,WBB,Algoma,W20231103WESALG,Sadie Grawbarger,1,1,17,0,0,1,2,0,0,1,5,6,3,1,2,0,0,2
2023-24,WBB,Algoma,W20231103WESALG,Brooke Gruhn,1,0,12,0,1,1,3,0,0,0,1,1,5,0,0,0,0,2
2023-24,WBB,Algoma,W20231103WESALG,Stephanie Marin,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Algoma,W20231103WESALG,Mercedes Mazzuca,1,0,19,1,1,0,2,1,5,0,0,0,2,0,2,0,0,4
2023-24,WBB,Algoma,W20231103WESALG,Qeila Mbonihankuye,1,0,14,0,1,1,3,0,0,0,1,1,3,2,1,0,0,2
2023-24,WBB,Algoma,W20231103WESALG,Ashlyn Noble,1,1,19,1,4,0,6,0,0,0,3,3,3,0,0,0,0,3
2023-24,WBB,Algoma,W20231103WESALG,Allison Read,1,1,25,2,9,0,1,0,0,3,3,6,1,1,3,0,1,6
2023-24,WBB,Algoma,W20231103WESALG,Sage Steadman,1,1,22,0,0,0,1,0,0,0,8,8,2,0,1,0,0,0
2023-24,WBB,Algoma,W20231104WESALG,Gracie Batongbakal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Algoma,W20231104WESALG,Gracie Batongbakal,1,0,34,1,5,1,5,2,2,0,4,4,2,5,3,1,2,7
2023-24,WBB,Algoma,W20231104WESALG,Abigail Couture,1,1,20,0,0,2,4,0,0,1,4,5,2,0,0,0,0,4
2023-24,WBB,Algoma,W20231104WESALG,Riya Donnelly,1,0,20,1,2,3,5,1,1,0,5,5,0,0,0,0,1,10
2023-24,WBB,Algoma,W20231104WESALG,Sadie Grawbarger,1,1,20,0,1,3,6,0,0,0,3,3,2,2,0,0,3,6
2023-24,WBB,Algoma,W20231104WESALG,Brooke Gruhn,1,0,19,0,1,0,3,0,0,0,1,1,2,2,0,0,2,0
2023-24,WBB,Algoma,W20231104WESALG,Stephanie Marin,1,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Algoma,W20231104WESALG,Mercedes Mazzuca,1,0,10,2,2,0,0,0,0,0,1,1,0,1,2,0,0,6
2023-24,WBB,Algoma,W20231104WESALG,Qeila Mbonihankuye,1,0,21,2,3,2,4,1,2,0,1,1,1,1,0,0,1,11
2023-24,WBB,Algoma,W20231104WESALG,Ashlyn Noble,1,1,17,0,1,0,5,0,0,0,2,2,1,0,1,0,1,0
2023-24,WBB,Algoma,W20231104WESALG,Allison Read,1,1,18,0,3,0,1,0,0,0,1,1,0,1,1,0,0,0
2023-24,WBB,Algoma,W20231104WESALG,Sage Steadman,1,0,13,0,0,0,4,0,0,3,1,4,1,0,0,0,0,0
2023-24,WBB,Algoma,W20231110ALGWLU,Gracie Batongbakal,1,1,29,1,2,0,6,0,0,0,0,0,3,2,5,0,0,3
2023-24,WBB,Algoma,W20231110ALGWLU,Abigail Couture,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Algoma,W20231110ALGWLU,Riya Donnelly,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Algoma,W20231110ALGWLU,Kaila Fong,1,1,30,1,4,2,7,0,0,1,5,6,2,2,4,0,2,7
2023-24,WBB,Algoma,W20231110ALGWLU,Sadie Grawbarger,1,1,25,0,1,1,3,0,0,1,4,5,0,0,2,0,0,2
2023-24,WBB,Algoma,W20231110ALGWLU,Brooke Gruhn,1,0,15,0,0,1,4,1,2,3,1,4,4,0,1,0,1,3
2023-24,WBB,Algoma,W20231110ALGWLU,Stephanie Marin,1,0,10,1,4,0,0,0,0,0,1,1,1,1,0,0,0,3
2023-24,WBB,Algoma,W20231110ALGWLU,Mercedes Mazzuca,1,0,18,2,4,0,2,0,0,0,0,0,0,1,0,0,1,6
2023-24,WBB,Algoma,W20231110ALGWLU,Qeila Mbonihankuye,1,0,6,0,0,0,0,0,0,0,2,2,2,0,3,0,0,0
2023-24,WBB,Algoma,W20231110ALGWLU,Ashlyn Noble,1,1,29,2,4,0,2,0,0,0,3,3,2,0,1,0,3,6
2023-24,WBB,Algoma,W20231110ALGWLU,Allison Read,1,1,25,2,10,0,2,0,0,3,1,4,0,3,0,0,4,6
2023-24,WBB,Algoma,W20231110ALGWLU,Sage Steadman,1,0,10,0,0,0,0,0,0,1,1,2,2,0,0,0,1,0
2023-24,WBB,Algoma,W20231110ALGWLU,team-algoma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,Gracie Batongbakal,1,0,24,1,3,2,4,0,0,1,2,3,0,0,3,0,0,7
2023-24,WBB,Algoma,W20231111ALGWLU,Abigail Couture,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,Riya Donnelly,1,0,5,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,Kaila Fong,1,1,27,1,7,2,10,3,6,0,4,4,2,2,1,1,2,10
2023-24,WBB,Algoma,W20231111ALGWLU,Sadie Grawbarger,1,1,22,1,1,1,4,0,0,3,4,7,1,0,3,0,1,5
2023-24,WBB,Algoma,W20231111ALGWLU,Brooke Gruhn,1,1,26,0,1,1,5,0,0,1,1,2,5,0,2,0,1,2
2023-24,WBB,Algoma,W20231111ALGWLU,Stephanie Marin,1,0,5,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,Mercedes Mazzuca,1,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,Qeila Mbonihankuye,1,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,Ashlyn Noble,1,1,32,1,2,1,5,1,2,0,4,4,1,0,2,0,1,6
2023-24,WBB,Algoma,W20231111ALGWLU,Allison Read,1,1,26,1,5,0,2,0,0,0,0,0,2,1,0,0,2,3
2023-24,WBB,Algoma,W20231111ALGWLU,Sage Steadman,1,0,14,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0
2023-24,WBB,Algoma,W20231111ALGWLU,team-algoma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023-24,WBB,Algoma,W20231117GUEALG,Abigail Couture,1,0,2,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
2023-24,WBB,Algoma,W20231117GUEALG,Riya Donnelly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-24,WBB,Algoma,W20231117GUEALG,Kaila Fong,1,1,40,2,6,5,12,5,7,2,6,8,4,3,12,0,1,21
2023-24,WBB,Algoma,W20231117GUEALG,Sadie Grawbarger,1,1,27,0,1,3,4,0,0,0,9,9,3,1,4,1,1,6
2023-24,WBB,Algoma,W20231117GUEALG,Brooke Gruhn,1,1,37,1,2,0,3,0,0,0,2,2,4,0,1,0,0,3
2023-24,WBB,Algoma,W20231117GUEALG,Stephanie Marin,1,0,5,1,2,0,0,0,0,0,1,1,1,0,1,0,0,3
2023-24,WBB,Algoma,W20231117GUEALG,Mercedes Mazzuca,1,0,20,1,4,0,0,2,2,0,1,1,0,1,1,0,0,5
2023-24,WBB,Algoma,W20231117GUEALG,Qeila Mbonihankuye,1,0,6,0,1,0,0,0,0,2,0,2,0,0,1,0,0,0
2023-24,WBB,Algoma,W20231117GUEALG,Ashlyn Noble,1,1,18,0,0,0,2,0,0,0,0,0,2,0,2,0,3,0
2023-24,WBB,Algoma,W20231117GUEALG,Allison Read,1,0,11,0,3,0,1,0,0,0,1,1,2,0,1,1,0,0
2023-24,WBB,Algoma,W20231117GUEALG,Grace Silverthorn,1,1,24,0,0,1,3,1,2,0,1,1,1,0,4,1,0,3
2023-24,WBB,Algoma,W20231117GUEALG,Sage Steadman,1,0,12,0,0,0,3,0,2,1,3,4,3,0,1,1,1,0
2023-24,WBB,Algoma,W20231117GUEALG,team-algoma,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2023-24,WBB,Algoma,W20231118GUEALG,Abigail Couture,1,0,4,0,0,0,0,2,4,0,2,2,1,0,0,0,0,2
