2014-2015,550a33494bc1ea55eb70e356,2015-03-15T14:00:00Z,CIS - Saskatchewan@BritishColumbia,British Columbia Thunderbirds,Saskatchewan Huskies
2014-2015,550a74704bc1ea55eb70e36c,2015-03-14T16:00:00Z,CIS - McGill@BritishColumbia,British Columbia Thunderbirds,McGill University Martlets
2014-2015,54fcbbd54bc1ea55eb70c8fc,2015-03-08T01:00:00Z,CanadaWest - Saskatchewan@BritishColumbia,British Columbia Thunderbirds,Saskatchewan Huskies
2014-2015,54fc9d5d4bc1ea55eb70c8e2,2015-03-07T00:00:00Z,CanadaWest - Alberta@BritishColumbia,British Columbia Thunderbirds,Alberta Pandas
2014-2015,54f33dc43ad33bf4a9d84428,2015-03-01T02:00:00Z,CanadaWest - MacEwan@Alberta,Alberta Pandas,MacEwan University Griffins
2014-2015,54f2c54d3ad33bf4a9d8438c,2015-03-01T01:00:00Z,CanadaWest - Regina@BritishColumbia,British Columbia Thunderbirds,Regina (Canada) Cougars
2014-2015,54f571494bc1ea55eb70b602,2015-02-28T22:00:00Z,CanadaWest - Victoria@ThompsonRivers,Thompson Rivers University Wolfpack,Victoria Vikes
2014-2015,54f1f34e3ad33bf4a9d8424d,2015-02-28T04:00:00Z,CanadaWest - MacEwan@Alberta,Alberta Pandas,MacEwan University Griffins
2014-2015,54f1daee3ad33bf4a9d8422f,2015-02-28T03:00:00Z,CanadaWest - Regina@BritishColumbia,British Columbia Thunderbirds,Regina (Canada) Cougars
2014-2015,54f24a053ad33bf4a9d84283,2015-02-28T03:00:00Z,CanadaWest - Victoria@ThompsonRivers,Thompson Rivers University Wolfpack,Victoria Vikes
2014-2015,54f1b7c53ad33bf4a9d841f6,2015-02-27T03:00:00Z,CanadaWest - Victoria@ThompsonRivers,Thompson Rivers University Wolfpack,Victoria Vikes
2014-2015,54eb96ae3ad33bf4a9d83921,2015-02-22T03:00:00Z,CanadaWest - Calgary@Victoria,Victoria Vikes,Calgary Dinos
2014-2015,54eb90943ad33bf4a9d838e7,2015-02-22T02:00:00Z,CanadaWest - Regina@FraserValley,Fraser Valley Cascades,Regina (Canada) Cougars
2014-2015,54ebd1423ad33bf4a9d839ab,2015-02-22T01:00:00Z,CanadaWest - Winnipeg@Saskatchewan,Saskatchewan Huskies,Winnipeg Wesmen
2014-2015,54eb68433ad33bf4a9d83818,2015-02-21T03:00:00Z,CanadaWest - Calgary@Victoria,Victoria Vikes,Calgary Dinos
2014-2015,54eb1c563ad33bf4a9d83713,2015-02-21T02:00:00Z,CanadaWest - Regina@FraserValley,Fraser Valley Cascades,Regina (Canada) Cougars
2014-2015,54e8c88f3ad33bf4a9d83483,2015-02-21T01:00:00Z,CanadaWest - Winnipeg@Saskatchewan,Saskatchewan Huskies,Winnipeg Wesmen
2014-2015,54e244533ad33bf4a9d82792,2015-02-15T01:00:00Z,TrinityWestern@Victoria,Victoria Vikes,Trinity Western Spartans
2014-2015,54e3379a3ad33bf4a9d8289e,2015-02-15T01:00:00Z,Manitoba@UBC,British Columbia Thunderbirds,Manitoba Bisons
2014-2015,54e16cb63ad33bf4a9d824dc,2015-02-15T00:15:00Z,Calgary@Saskatchewan,Saskatchewan Huskies,Calgary Dinos
2014-2015,54e1c9853ad33bf4a9d82580,2015-02-15T00:00:00Z,Lethbridge@Alberta,Alberta Pandas,Lethbridge Pronghorns
2014-2015,54e366f13ad33bf4a9d828e0,2015-02-15T00:00:00Z,MacEwan@MountRoyal,Mount Royal Cougars ,MacEwan University Griffins
2014-2015,54e203a23ad33bf4a9d82631,2015-02-14T22:00:00Z,ThompsonRivers@FraserValley,Fraser Valley Cascades,Thompson Rivers University Wolfpack
2014-2015,54e230a33ad33bf4a9d82752,2015-02-14T20:00:00Z,Regina(Canada)@Winnipeg,Winnipeg Wesmen,Regina (Canada) Cougars
2014-2015,54e21b8f3ad33bf4a9d826d6,2015-02-14T02:00:00Z,TrinityWestern@Victoria,Victoria Vikes,Trinity Western Spartans
2014-2015,54e32dc03ad33bf4a9d82895,2015-02-14T02:00:00Z,Manitoba@UBC,British Columbia Thunderbirds,Manitoba Bisons
2014-2015,54dfc3743ad33bf4a9d82173,2015-02-14T01:00:00Z,MacEwan@MountRoyal,Mount Royal Cougars ,MacEwan University Griffins
2014-2015,54dfe1723ad33bf4a9d82191,2015-02-14T01:00:00Z,Lethbridge@Alberta,Alberta Pandas,Lethbridge Pronghorns
2014-2015,54df7f7b3ad33bf4a9d8214a,2015-02-14T00:15:00Z,Calgary@Saskatchewan,Saskatchewan Huskies,Calgary Dinos
2014-2015,54df716b3ad33bf4a9d8213a,2015-02-14T00:00:00Z,Regina(Canada)@Winnipeg,Winnipeg Wesmen,Regina (Canada) Cougars
2014-2015,54e00e713ad33bf4a9d821da,2015-02-13T23:00:00Z,ThompsonRivers@FraserValley,Fraser Valley Cascades,Thompson Rivers University Wolfpack
2014-2015,54d85c183ad33bf4a9d8143a,2015-02-08T01:00:00Z,UBCOkaganan@MacEwan,MacEwan University Griffins,British Columbia - Okanagan 
2014-2015,54d88fa93ad33bf4a9d81469,2015-02-08T01:00:00Z,FraserValley@UNBC,Northern British Columbia Timberwolves,Fraser Valley Cascades
2014-2015,54d959383ad33bf4a9d816d9,2015-02-08T01:00:00Z,Winnipeg@TrinityWestern,Trinity Western Spartans,Winnipeg Wesmen
2014-2015,54d892f03ad33bf4a9d8146c,2015-02-08T00:00:00Z,Saskatchewan@Lethbridge,Lethbridge Pronghorns,Saskatchewan Huskies
2014-2015,54d9e5d63ad33bf4a9d81755,2015-02-08T00:00:00Z,UBC@Regina(Canada),Regina (Canada) Cougars,British Columbia Thunderbirds
2014-2015,54da4f4d3ad33bf4a9d81922,2015-02-07T23:00:00Z,Victoria@BrandonUniversity,Brandon University Bobcats,Victoria Vikes
2014-2015,54da0cc33ad33bf4a9d81785,2015-02-07T22:00:00Z,MountRoyal@ThompsonRivers,Thompson Rivers University Wolfpack,Mount Royal Cougars 
2014-2015,54d6965c3ad33bf4a9d80fd1,2015-02-07T02:00:00Z,FraserValley@UNBC,Northern British Columbia Timberwolves,Fraser Valley Cascades
2014-2015,54d910173ad33bf4a9d815f5,2015-02-07T02:00:00Z,Winnipeg@TrinityWestern,Trinity Western Spartans,Winnipeg Wesmen
2014-2015,54d64f1d3ad33bf4a9d80f98,2015-02-07T01:00:00Z,Saskatchewan@Lethbridge,Lethbridge Pronghorns,Saskatchewan Huskies
2014-2015,54d6518e3ad33bf4a9d80f9a,2015-02-07T01:00:00Z,UBCOkaganan@MacEwan,MacEwan University Griffins,British Columbia - Okanagan 
2014-2015,54d8b2593ad33bf4a9d8149e,2015-02-07T00:00:00Z,UBC@Regina(Canada),Regina (Canada) Cougars,British Columbia Thunderbirds
2014-2015,54dc47733ad33bf4a9d81c84,2015-02-07T00:00:00Z,Victoria@BrandonUniversity,Brandon University Bobcats,Victoria Vikes
2014-2015,54d68aa43ad33bf4a9d80fc5,2015-02-06T23:00:00Z,MountRoyal@ThompsonRivers,Thompson Rivers University Wolfpack,Mount Royal Cougars 
2014-2015,54db0f7c3ad33bf4a9d81b73,2015-02-06T01:00:00Z,Alberta@Calgary,Calgary Dinos,Alberta Pandas
